EXAMPLE_year_quarter;EXAMPLE_price;EXAMPLE_floor_area_log;EXAMPLE_distance_nearest_trainstation_log;EXAMPLE_neighbourhood_code;EXAMPLE_dummy_large_city
2008Q1;192500;186;1,8;B;0
2008Q1;168277;118;5,2;B;0
2008Q1;68182;75;0,9;A;1
2008Q1;375000;186;5,8;E;0
2008Q1;330000;608;1,2;B;0
2008Q1;1356186;1083;1,7;D;0
2008Q1;684250;705;2,4;D;0
2008Q1;39015;163;14,4;C;0
2008Q1;574907;402;12,8;D;0
2008Q1;380000;335;0,7;B;0
2008Q1;227500;49;2,2;A;1
2008Q1;1735000;140;2,2;B;0
2008Q1;1035000;92;2;A;1
2008Q1;260000;1290;1,2;E;0
2008Q1;230000;133;3,4;C;0
2008Q1;116071;100;1,1;D;0
2008Q1;330000;165;0,8;D;0
2008Q1;195160;120;7,4;B;0
2008Q1;3272500;2220;1,8;D;0
2008Q1;135000;71;1,4;C;0
2008Q1;166500;263;2,7;E;0
2008Q1;140000;282;3,9;E;0
2008Q1;275000;287;3;B;0
2008Q1;128671;175;0,9;A;0
2008Q1;385000;91;1,7;A;0
2008Q1;280109;82;1,4;C;0
2008Q1;1578440;343;1,7;B;0
2008Q1;416500;490;14,7;C;0
2008Q1;325000;57;1;A;0
2008Q1;238188;119;8,3;E;0
2008Q1;850850;1861;9,9;C;0
2008Q1;75000;106;1,4;D;0
2008Q1;136250;142;2;C;0
2008Q1;86000;67;3,4;E;0
2008Q1;135000;248;0,8;A;0
2008Q1;2306538;87;0,8;A;1
2008Q1;270000;137;4,9;A;0
2008Q1;613521;556;2,1;D;0
2008Q1;289818;95;1,1;A;0
2008Q1;110000;98;3,3;B;0
2008Q1;258000;250;2,7;D;0
2008Q1;58335;166;6,7;D;0
2008Q1;1987300;2202;3,1;B;0
2008Q1;652500;399;2,4;B;0
2008Q1;557500;147;3,6;C;0
2008Q1;1150000;1094;3,4;A;0
2008Q1;514486;142;1,4;C;0
2008Q1;1875000;5746;3,5;B;0
2008Q1;416000;207;0,9;C;0
2008Q1;53125;67;1;E;0
2008Q1;1655000;1457;5,7;B;0
2008Q1;185000;482;11,3;D;0
2008Q1;90000;126;1,5;E;0
2008Q1;773500;2663;7,8;C;0
2008Q1;33643;141;14,4;C;0
2008Q1;65000;130;49,6;E;0
2008Q1;350000;215;2,6;D;0
2008Q1;597500;216;6;B;0
2008Q1;252500;136;1;A;1
2008Q1;219500;106;3,5;B;0
2008Q1;627000;295;10,5;B;0
2008Q1;58611;216;2,1;C;0
2008Q1;215000;317;2,1;E;0
2008Q1;80000;58;1,2;D;0
2008Q1;635000;1253;1,5;E;0
2008Q1;350000;111;1;A;0
2008Q1;177507;150;12,4;C;0
2008Q1;835000;285;1,2;A;1
2008Q1;151000;105;0,9;C;0
2008Q1;354000;240;1,7;A;0
2008Q1;62492973;20205;2,5;C;1
2008Q1;225000;137;14,5;B;0
2008Q1;43692;216;2,1;C;0
2008Q1;482800;92;6,8;B;0
2008Q1;460000;150;3;A;0
2008Q1;112144;102;29,6;C;0
